Ente ;Nome ;Linea;Progressiva ;Note;X WGS;Y WGS
Cippo ;1 Km ;Brescia Edolo;01+000;;1.020.061.159;4.553.690.798
Cippo ;2 Km ;Brescia Edolo;02+000;;1.019.178.455;4.554.298.925
Cippo ;3 Km ;Brescia Edolo;03+000;;1.017.985.485;4.554.607.972
Cippo ;4 Km ;Brescia Edolo;04+000;;1.016.723.627;4.554.522.389
Cippo ;5 Km ;Brescia Edolo;05+000;;1.015.457.657;4.554.650.996
Cippo ;6 Km ;Brescia Edolo;06+000;;1.014.265.247;4.554.929.893
Cippo ;7 Km ;Brescia Edolo;07+000;;1.013.311.018;4.555.493.377
Cippo ;8 Km ;Brescia Edolo;08+000;;1.012.443.411;4.556.155.238
Cippo ;9 Km ;Brescia Edolo;09+000;;1.011.575.335;455.681.686
Cippo ;10 Km ;Brescia Edolo;10+000;;1.010.707.048;4.557.478.408
Cippo ;11 Km ;Brescia Edolo;11+000;;1.009.748.555;4.558.075.246
Cippo ;12 Km ;Brescia Edolo;12+000;;1.008.757.449;4.558.645.137
Cippo ;13 Km ;Brescia Edolo;13+000;;1.007.728.001;4.559.166.441
Cippo ;14 Km ;Brescia Edolo;14+000;;1.006.473.678;4.559.030.841
Cippo ;15 Km ;Brescia Edolo;15+000;;1.005.248.702;4.558.859.642
Cippo ;16 Km ;Brescia Edolo;16+000;;1.004.092.449;4.559.025.756
Cippo ;17 Km ;Brescia Edolo;17+000;;1.003.017.526;4.559.237.712
Cippo ;18 Km ;Brescia Edolo;18+000;;1.002.997.105;4.560.113.193
Cippo ;19 Km ;Brescia Edolo;19+000;;1.002.060.739;4.560.721.628
Cippo ;20 Km ;Brescia Edolo;20+000;;1.001.717.212;4.561.518.366
Cippo ;21 Km ;Brescia Edolo;21+000;;1.002.125.222;4.562.367.054
Cippo ;22 Km ;Brescia Edolo;22+000;;1.002.845.474;456.311.146
Cippo ;23 Km ;Brescia Edolo;23+000;;1.003.722.948;4.563.721.192
Cippo ;24 Km ;Brescia Edolo;24+000;;1.003.687.651;4.564.561.735
Cippo ;25 Km ;Brescia Edolo;25+000;;1.004.754.757;4.565.046.072
Cippo ;26 Km ;Brescia Edolo;26+000;;1.005.193.249;4.565.879.641
Cippo ;27 Km ;Brescia Edolo;27+000;;1.006.029.734;4.566.481.865
Cippo ;28 Km ;Brescia Edolo;28+000;;1.007.157.596;4.566.865.803
Cippo ;29 Km ;Brescia Edolo;29+000;;1.008.030.655;4.567.505.728
Cippo ;30 Km ;Brescia Edolo;30+000;;1.009.057.857;4.568.029.258
Cippo ;31 Km ;Brescia Edolo;31+000;;1.009.912.123;456.868.174
Cippo ;32 Km ;Brescia Edolo;32+000;;1.010.394.992;4.569.474.564
Cippo ;33 Km ;Brescia Edolo;33+000;;1.010.866.561;4.570.279.419
Cippo ;34 Km ;Brescia Edolo;34+000;;1.011.125.555;4.571.132.327
Cippo ;35 Km ;Brescia Edolo;35+000;;1.011.056.121;457.200.561
Cippo ;36 Km ;Brescia Edolo;36+000;;1.010.227.752;45.726.578
Cippo ;37 Km ;Brescia Edolo;37+000;;1.009.362.215;4.573.212.992
Cippo ;38 Km ;Brescia Edolo;38+000;;1.009.306.946;4.574.066.392
Cippo ;39 Km ;Brescia Edolo;39+000;;100.877.469;4.574.875.779
Cippo ;40 Km ;Brescia Edolo;40+000;;1.007.975.761;4.575.570.886
Cippo ;41 Km ;Brescia Edolo;41+000;;1.007.358.788;4.576.338.961
Cippo ;42 Km ;Brescia Edolo;42+000;;1.006.816.187;4.577.130.944
Cippo ;43 Km ;Brescia Edolo;43+000;;1.007.301.011;4.577.949.686
Cippo ;44 Km ;Brescia Edolo;44+000;;1.008.190.981;4.578.451.158
Cippo ;45 Km ;Brescia Edolo;45+000;;1.009.183.246;4.578.985.341
Cippo ;46 Km ;Brescia Edolo;46+000;;1.010.229.144;4.579.493.806
Cippo ;47 Km ;Brescia Edolo;47+000;;1.010.610.221;4.580.321.167
Cippo ;48 Km ;Brescia Edolo;48+000;;1.010.773.737;4.581.188.569
Cippo ;49 Km ;Brescia Edolo;49+000;;1.011.330.452;4.581.999.695
Cippo ;50 Km ;Brescia Edolo;50+000;;1.012.022.097;458.275.629
Cippo ;51 Km ;Brescia Edolo;51+000;;1.012.755.838;4.583.495.459
Cippo ;52 Km ;Brescia Edolo;52+000;;1.013.775.454;4.583.964.825
Cippo ;53 Km ;Brescia Edolo;53+000;;1.014.501.233;4.584.688.835
Cippo ;54 Km ;Brescia Edolo;54+000;;1.014.938.067;458.537.805
Cippo ;55 Km ;Brescia Edolo;55+000;;1.015.931.783;4.585.906.658
Cippo ;56 Km ;Brescia Edolo;56+000;;1.016.705.684;4.586.625.759
Cippo ;57 Km ;Brescia Edolo;57+000;;1.017.212.211;4.587.394.965
Cippo ;58 Km ;Brescia Edolo;58+000;;1.018.053.134;4.588.029.958
Cippo ;59 Km ;Brescia Edolo;59+000;;1.018.468.833;4.588.829.733
Cippo ;60 Km ;Brescia Edolo;60+000;;1.019.317.302;4.589.472.356
Cippo ;61 Km ;Brescia Edolo;61+000;;1.019.794.904;4.590.291.336
Cippo ;62 Km ;Brescia Edolo;62+000;;1.020.753.471;4.590.883.568
Cippo ;63 Km ;Brescia Edolo;63+000;;1.021.826.429;4.591.381.118
Cippo ;64 Km ;Brescia Edolo;64+000;;1.022.707.218;4.592.035.714
Cippo ;65 Km ;Brescia Edolo;65+000;;102.364.936;4.592.646.504
Cippo ;66 Km ;Brescia Edolo;66+000;;1.024.523.783;4.593.299.405
Cippo ;67 Km ;Brescia Edolo;67+000;;1.025.462.626;4.593.901.551
Cippo ;68 Km ;Brescia Edolo;68+000;;1.026.579.667;4.594.314.645
Cippo ;69 Km ;Brescia Edolo;69+000;;1.027.652.923;4.594.686.632
Cippo ;70 Km ;Brescia Edolo;70+000;;1.028.090.667;4.595.452.698
Cippo ;71 Km ;Brescia Edolo;71+000;;1.029.298.012;4.595.717.729
Cippo ;72 Km ;Brescia Edolo;72+000;;103.051.268;4.595.921.334
Cippo ;73 Km ;Brescia Edolo;73+000;;1.031.579.385;4.596.194.627
Cippo ;74 Km ;Brescia Edolo;74+000;;1.031.948.428;4.597.036.989
Cippo ;75 Km ;Brescia Edolo;75+000;;1.032.370.138;4.597.885.289
Cippo ;76 Km ;Brescia Edolo;76+000;;1.033.303.677;4.598.454.144
Cippo ;77 Km ;Brescia Edolo;77+000;;1.033.683.603;4.599.276.445
Cippo ;78 Km ;Brescia Edolo;78+000;;1.034.410.783;4.599.956.707
Cippo ;79 Km ;Brescia Edolo;79+000;;1.034.552.196;4.600.673.824
Cippo ;80 Km ;Brescia Edolo;80+000;;1.034.790.404;4.601.471.326
Cippo ;81 Km ;Brescia Edolo;81+000;;1.034.534.588;4.602.276.722
Cippo ;82 Km ;Brescia Edolo;82+000;;1.034.635.322;4.603.137.626
Cippo ;83 Km ;Brescia Edolo;83+000;;1.034.424.329;4.603.970.207
Cippo ;84 Km ;Brescia Edolo;84+000;;1.034.747.918;4.604.840.823
Cippo ;85 Km ;Brescia Edolo;85+000;;103.509.806;4.605.697.986
Cippo ;86 Km ;Brescia Edolo;86+000;;1.034.988.009;4.606.588.128
Cippo ;87 Km ;Brescia Edolo;87+000;;1.034.865.763;4.607.447.138
Cippo ;88 Km ;Brescia Edolo;88+000;;1.034.487.535;4.608.287.918
Cippo ;89 Km ;Brescia Edolo;89+000;;1.033.374.586;4.608.557.032
Cippo ;90 Km ;Brescia Edolo;90+000;;1.032.126.762;4.608.598.657
Cippo ;91 Km ;Brescia Edolo;91+000;;1.031.451.194;4.609.239.788
Cippo ;92 Km ;Brescia Edolo;92+000;;1.031.019.613;4.610.056.611
Cippo ;93 Km ;Brescia Edolo;93+000;;1.031.078.894;4.610.928.801
Cippo ;94 Km ;Brescia Edolo;94+000;;1.031.581.967;4.611.667.542
