Ente ;Nome ;Linea;Progressiva ;Note;X WGS;Y WGS
Cippo;1 Km;Milano - Saronno;01+000;;9.167348381;45.47558002
Cippo;2 Km;Milano - Saronno;02+000;;9.160685056;45.48315786
Cippo;3 Km;Milano - Saronno;03+000;;9.160796566;45.49212109
Cippo;4 Km;Milano - Saronno;04+000;;9.159513673;45.50106872
Cippo;5 Km;Milano - Saronno;05+000;;9.154215491;45.50909566
Cippo;6 Km;Milano - Saronno;06+000;;9.147451981;45.51673216
Cippo;7 Km;Milano - Saronno;07+000;;9.14067011;45.52436226
Cippo;8 Km;Milano - Saronno;08+000;Il cippo si trova alla PK 08+055;9.13392064;45.53200682
Cippo;9 Km;Milano - Saronno;09+000;;9.126494802;45.53933586
Cippo;10 Km;Milano - Saronno;10+000;;9.119015472;45.54663794
Cippo;11 Km;Milano - Saronno;11+000;;9.11115591;45.55374074
Cippo;12 Km;Milano - Saronno;12+000;;9.103216234;45.56079883
Cippo;13 Km;Milano - Saronno;13+000;;9.095156656;45.56778968
Cippo;14 Km;Milano - Saronno;14+000;;9.086944183;45.57469432
Cippo;15 Km;Milano - Saronno;15+000;;9.078279338;45.58130562
Cippo;16 Km;Milano - Saronno;16+000;;9.06993565;45.58813253
Cippo;17 Km;Milano - Saronno;17+000;;9.061632806;45.59498559
Cippo;18 Km;Milano - Saronno;18+000;;9.054329359;45.60236496
Cippo;19 Km;Milano - Saronno;19+000;;9.047395372;45.60993163
Cippo;20 Km;Milano - Saronno;20+000;;9.0403969;45.61746966
Cippo;21 Km;Milano - Saronno;21+000;Il cippo si trova alla PK 20+972;9.031926095;45.62416791
Cippo;5 Km;Bovisa - Asso;05+000;;9.158608107;45.50991093
Cippo;6 Km;Bovisa - Asso;06+000;;9.165001326;45.51769166
Cippo;7 Km;Bovisa - Asso;07+000;;9.16992982;45.52597388
Cippo;8 Km;Bovisa - Asso;08+000;;9.1728247;45.53464892
Cippo;9 Km;Bovisa - Asso;09+000;;9.173605075;45.54362956
Cippo;10 Km;Bovisa - Asso;10+000;;9.171177061;45.55222117
Cippo;11 Km;Bovisa - Asso;11+000;;9.164515023;45.5599052
Cippo;12 Km;Bovisa - Asso;12+000;;9.159135104;45.56806912
Cippo;13 Km;Bovisa - Asso;13+000;;9.157197941;45.5768714
Cippo;14 Km;Bovisa - Asso;14+000;;9.155436913;45.58577893
Cippo;15 Km;Bovisa - Asso;15+000;;9.153463157;45.59466865
